date,weight,event
18:03:19,17.00,cam_FIFO
18:03:39,17.00,cam_SND_MV_ok
18:23:52,17.00,cam_FIFO
18:24:15,17.00,cam_SND_MV_ok
18:24:24,18.00,cam_FIFO
18:24:45,18.00,cam_SND_MV_ok
18:45:53,16.00,cam_FIFO
18:46:14,16.00,cam_SND_MV_ok
18:46:32,26.00,cam_FIFO
18:46:51,26.00,cam_SND_MV_ok
18:48:35,27.00,cam_FIFO
18:48:55,27.00,cam_SND_MV_ok
18:49:45,5.00,cam_FIFO
18:50:06,5.00,cam_SND_MV_ok
19:13:49,16.00,cam_FIFO
19:13:49,16.00,cam_STDBY
19:14:02,16.00,cam_FIFO
19:14:02,16.00,cam_STDBY
19:15:09,19.00,cam_FIFO
19:15:09,19.00,cam_STDBY
19:16:17,17.00,cam_FIFO
19:16:17,17.00,cam_STDBY
19:17:23,8.00,cam_FIFO
19:17:23,8.00,cam_STDBY
19:18:30,8.00,cam_FIFO
19:18:30,8.00,cam_STDBY
19:19:39,7.00,cam_FIFO
19:19:39,7.00,cam_STDBY
19:20:46,8.00,cam_FIFO
19:20:46,8.00,cam_STDBY
19:21:53,7.00,cam_FIFO
19:21:53,7.00,cam_STDBY
19:23:01,7.00,cam_FIFO
19:23:01,7.00,cam_STDBY
19:24:08,8.00,cam_FIFO
19:24:08,8.00,cam_STDBY
19:25:15,9.00,cam_FIFO
19:25:15,9.00,cam_STDBY
19:26:22,8.00,cam_FIFO
19:26:22,8.00,cam_STDBY
19:27:29,8.00,cam_FIFO
19:27:29,8.00,cam_STDBY
19:28:37,9.00,cam_FIFO
19:28:37,9.00,cam_STDBY
19:29:45,7.00,cam_FIFO
19:29:45,7.00,cam_STDBY
19:30:52,8.00,cam_FIFO
19:30:52,8.00,cam_STDBY
19:31:59,8.00,cam_FIFO
19:31:59,8.00,cam_STDBY
