# weightThreshold=8
# threshold_off=5.60
# weightlimit=300
# hxScale=527
# CAMERA_DELAY=2.0
# startup_offset=176707
# startup_note=STARTUP_ZERO spread=4323 < 4500.0
# startup_attempts=2
# startup_delay=10.51
time,mono_t,raw,offset,weight,sigma,threshold,state,events
15:49:44,105.692,177598,176707,-1.69,0.00,8.00,IDLE,
15:49:45,106.014,177217,176707,-0.97,0.51,8.00,IDLE,
15:49:46,107.095,175540,176707,2.21,1.58,8.06,IDLE,
15:49:47,108.021,175439,176707,2.41,1.51,8.11,IDLE,
15:49:48,109.101,176022,176707,1.30,1.27,8.16,IDLE,
15:49:49,110.026,176412,176707,0.56,1.18,8.20,IDLE,
15:49:50,111.109,177273,176707,-1.07,1.27,8.25,IDLE,
15:49:51,112.049,175170,176707,2.92,1.40,8.30,IDLE,
15:49:52,113.146,177038,176707,-0.63,1.52,8.36,IDLE,
15:49:53,114.085,177585,176707,-1.67,1.55,8.41,IDLE,
15:49:54,115.026,175431,176707,2.42,1.64,8.46,IDLE,
15:49:55,116.126,175481,176707,2.33,1.66,8.52,IDLE,
15:49:56,117.067,175608,176707,2.09,1.94,8.58,IDLE,
15:49:57,118.007,175608,176707,2.09,1.92,8.64,IDLE,
15:49:58,119.103,175627,176707,2.05,1.85,8.71,IDLE,
15:49:59,120.043,175291,176707,2.69,1.84,8.77,IDLE,
15:50:00,121.139,177170,176707,-0.88,1.85,8.84,IDLE,
15:50:01,122.079,173187,176707,6.68,2.08,8.90,IDLE,
15:50:02,123.020,176495,176707,0.40,2.13,8.96,IDLE,
15:50:03,124.116,176042,176707,1.26,2.07,9.03,IDLE,
15:50:04,125.056,176930,176707,-0.42,2.04,9.10,IDLE,
15:50:05,126.153,175049,176707,3.15,2.02,9.16,IDLE,
15:50:06,127.093,175847,176707,1.63,2.00,9.22,IDLE,
15:50:07,128.034,174366,176707,4.44,1.97,9.28,IDLE,
15:50:08,129.131,176205,176707,0.95,2.05,9.35,IDLE,
15:50:09,130.072,174673,176707,3.86,2.04,9.40,IDLE,
15:50:10,131.012,175903,176707,1.53,2.04,9.46,IDLE,
15:50:11,132.111,175815,176707,1.69,2.00,9.52,IDLE,
15:50:12,133.051,174149,176707,4.85,1.98,9.58,IDLE,
15:50:13,134.147,175697,176707,1.92,1.98,9.64,IDLE,
15:50:14,135.087,173086,176707,6.87,1.99,9.69,IDLE,
15:50:15,136.027,174629,176707,3.94,1.96,9.74,IDLE,
15:50:16,137.125,171750,176707,9.41,2.18,9.80,IDLE,
15:50:17,138.065,172327,176707,8.31,2.38,9.85,ARRIVAL,IDLE->ARRIVAL|_0s
15:50:18,139.008,173654,176707,5.79,2.50,9.83,ARRIVAL,_1s
15:50:19,140.106,175435,176707,2.41,2.49,9.87,IDLE,
15:50:20,141.050,175433,176707,2.42,2.47,9.93,IDLE,
15:50:21,142.148,175605,176707,2.09,2.47,10.00,IDLE,
15:50:22,143.088,174871,176707,3.48,2.47,10.06,IDLE,
15:50:23,144.030,175939,176707,1.46,2.40,10.12,IDLE,
15:50:24,145.125,174550,176707,4.09,2.43,10.19,IDLE,
15:50:25,146.069,175670,176707,1.97,2.40,10.25,IDLE,
15:50:26,147.009,177628,176707,-1.75,2.40,10.30,IDLE,
15:50:27,148.109,175019,176707,3.20,2.37,10.37,IDLE,
15:50:28,149.048,176146,176707,1.06,2.35,10.42,IDLE,
15:50:29,150.146,172179,176707,8.59,2.43,10.49,IDLE,
15:50:30,151.086,174233,176707,4.69,2.50,10.51,IDLE,
15:50:31,152.026,173555,176707,5.98,2.50,10.57,IDLE,
15:50:32,153.122,177870,176707,-2.21,2.55,10.63,IDLE,
15:50:33,154.062,175047,176707,3.15,2.52,10.68,IDLE,
15:50:34,155.004,175762,176707,1.79,2.47,10.73,IDLE,
15:50:35,156.101,175575,176707,2.15,2.38,10.79,IDLE,
15:50:36,157.041,174694,176707,3.82,2.36,10.84,IDLE,
15:50:37,158.138,176038,176707,1.27,2.34,10.90,IDLE,
15:50:38,159.078,175126,176707,3.00,2.35,10.95,IDLE,
15:50:39,160.020,175740,176707,1.83,2.35,11.00,IDLE,
15:50:40,161.116,175460,176707,2.37,2.34,11.05,IDLE,
15:50:41,162.057,174207,176707,4.74,2.34,11.10,IDLE,
15:50:42,163.156,174677,176707,3.85,2.32,11.15,IDLE,
15:50:43,164.096,174418,176707,4.34,2.32,11.20,IDLE,
15:50:44,165.037,175736,176707,1.84,2.30,11.24,IDLE,
15:50:45,166.133,176042,176707,1.26,2.31,11.29,IDLE,
15:50:46,167.073,176111,176707,1.13,2.34,11.34,IDLE,
15:50:47,168.013,174304,176707,4.56,2.35,11.38,IDLE,
15:50:48,169.110,175705,176707,1.90,2.35,11.43,IDLE,
15:50:49,170.052,177454,176707,-1.42,2.33,11.47,IDLE,
15:50:50,171.149,173437,176707,6.20,2.19,11.52,IDLE,
15:50:51,172.089,172752,176707,7.50,2.14,11.55,IDLE,
15:50:52,173.029,175689,176707,1.93,2.15,11.59,IDLE,
15:50:53,174.126,174359,176707,4.46,2.17,11.63,IDLE,
15:50:54,175.067,176364,176707,0.65,2.19,11.66,IDLE,
15:50:55,176.008,176260,176707,0.85,2.20,11.70,IDLE,
15:50:56,177.103,173381,176707,6.31,2.30,11.74,IDLE,
15:50:57,178.044,175934,176707,1.47,2.28,11.78,IDLE,
15:50:58,179.143,176945,176707,-0.45,2.35,11.82,IDLE,
15:50:59,180.082,175022,176707,3.20,2.29,11.86,IDLE,
15:51:00,181.022,174432,176707,4.32,2.27,11.90,IDLE,
15:51:01,182.123,174017,176707,5.10,2.37,11.94,IDLE,
15:51:02,183.064,174975,176707,3.29,2.29,11.97,IDLE,
15:51:03,184.004,173932,176707,5.27,2.21,12.01,IDLE,
15:51:04,185.101,174390,176707,4.40,2.19,12.04,IDLE,
15:51:05,186.041,174664,176707,3.88,2.17,12.07,IDLE,
15:51:06,187.138,174696,176707,3.82,2.12,12.10,IDLE,
15:51:07,188.078,175324,176707,2.62,2.15,12.13,IDLE,
15:51:08,189.018,176473,176707,0.44,2.15,12.16,IDLE,
15:51:09,190.116,174102,176707,4.94,2.22,12.19,IDLE,
15:51:10,191.056,177242,176707,-1.02,2.31,12.23,IDLE,
15:51:11,192.153,176209,176707,0.94,2.35,12.26,IDLE,
15:51:12,193.094,177602,176707,-1.70,2.43,12.30,IDLE,
15:51:13,194.035,176425,176707,0.54,2.51,12.33,IDLE,
15:51:14,195.131,174093,176707,4.96,2.56,12.37,IDLE,
15:51:15,196.071,174276,176707,4.61,2.56,12.40,IDLE,
15:51:16,197.012,174276,176707,4.61,2.58,12.43,IDLE,
15:51:17,198.108,175681,176707,1.95,2.69,12.44,IDLE,
15:51:18,199.048,175501,176707,2.29,2.80,12.47,IDLE,
15:51:19,200.146,176549,176707,0.30,2.79,12.50,IDLE,
15:51:20,201.090,174355,176707,4.46,2.79,12.53,IDLE,
15:51:21,202.030,176193,176707,0.98,2.79,12.56,IDLE,
15:51:22,203.127,177152,176707,-0.84,2.73,12.60,IDLE,
15:51:23,204.068,175085,176707,3.08,2.70,12.62,IDLE,
15:51:24,205.008,175476,176707,2.34,2.63,12.65,IDLE,
15:51:25,206.105,175489,176707,2.31,2.62,12.68,IDLE,
15:51:26,207.046,175244,176707,2.78,2.59,12.71,IDLE,
15:51:27,208.143,176673,176707,0.06,2.60,12.74,IDLE,
15:51:28,209.084,176673,176707,0.06,2.61,12.77,IDLE,
