# weightThreshold=8
# threshold_off=5.60
# weightlimit=300
# hxScale=527
# CAMERA_DELAY=2.0
# startup_offset=174797
# startup_note=STARTUP_ZERO spread=2975 < 3000.0
# startup_attempts=1
# startup_delay=10.68
time,mono_t,raw,offset,weight,sigma,threshold,state,events
07:11:48,43.684,174564,174797,0.44,0.00,8.00,IDLE,
07:11:48,44.010,174564,174797,0.44,0.00,8.00,IDLE,
07:11:49,45.096,173781,174797,1.93,0.57,8.00,IDLE,
07:11:50,46.027,175869,174797,-2.03,1.42,8.00,IDLE,
07:11:51,47.118,174534,174797,0.50,1.39,8.00,IDLE,
07:11:52,48.050,170909,174797,7.38,0.00,8.00,IDLE,
07:11:53,49.131,168961,174797,11.07,0.00,8.00,ARRIVAL,_0s
07:11:54,50.062,173201,174797,3.03,0.00,8.00,IDLE,
07:11:55,51.143,174600,174797,0.37,1.33,8.00,IDLE,
07:11:56,52.070,176371,174797,-2.99,1.66,8.00,IDLE,
07:11:57,53.001,176705,174797,-3.62,2.28,8.00,IDLE,
07:11:58,54.081,173151,174797,3.12,2.28,8.00,IDLE,
07:11:59,55.006,173599,174797,2.27,2.28,8.08,IDLE,
07:12:00,56.086,175947,174797,-2.18,2.19,8.17,IDLE,
07:12:01,57.012,172510,174797,4.34,2.33,8.25,IDLE,
07:12:02,58.092,175988,174797,-2.26,2.37,8.34,IDLE,
07:12:03,59.017,174209,174797,1.12,2.30,8.42,IDLE,
07:12:04,60.097,175431,174797,-1.20,2.19,8.51,IDLE,
07:12:05,61.025,174041,174797,1.43,2.14,8.58,IDLE,
07:12:06,62.121,175140,174797,-0.65,0.00,8.61,IDLE,
07:12:07,63.065,175258,174797,-0.87,1.81,8.60,IDLE,
07:12:08,64.006,174247,174797,1.04,1.55,8.60,IDLE,
07:12:09,65.103,176853,174797,-3.90,1.86,8.59,IDLE,
07:12:10,66.043,174173,174797,1.18,2.14,8.58,IDLE,
07:12:11,67.139,175118,174797,-0.61,2.12,8.62,IDLE,
07:12:12,68.079,174008,174797,1.50,2.11,8.69,IDLE,
07:12:13,69.130,175383,174797,-1.11,2.02,8.75,IDLE,
07:12:14,70.069,171806,174797,5.68,0.00,8.80,IDLE,
07:12:15,71.005,172716,174797,3.95,0.27,8.79,IDLE,
07:12:16,72.086,174986,174797,-0.36,2.88,8.78,IDLE,
07:12:17,73.012,174986,174797,-0.36,2.44,8.77,IDLE,
07:12:18,74.092,174410,174797,0.73,2.27,8.76,IDLE,
07:12:19,75.017,173378,174797,2.69,2.25,8.79,IDLE,
07:12:20,76.103,175359,174797,-1.07,1.76,8.78,IDLE,
07:12:21,77.043,174646,174797,0.29,1.54,8.77,IDLE,
07:12:22,78.139,171668,174797,5.94,0.00,8.76,IDLE,
07:12:23,79.079,174636,174797,0.31,1.65,8.75,IDLE,
07:12:24,80.019,174098,174797,1.33,1.51,8.74,IDLE,
07:12:25,81.115,174736,174797,0.12,1.31,8.73,IDLE,
07:12:26,82.039,174700,174797,0.18,1.21,8.72,IDLE,
07:12:27,83.119,174293,174797,0.96,1.15,8.73,IDLE,
07:12:28,84.046,174655,174797,0.27,1.07,8.76,IDLE,
07:12:29,85.126,174061,174797,1.40,1.00,8.80,IDLE,
07:12:30,86.054,174485,174797,0.59,0.95,8.82,IDLE,
07:12:31,87.133,177291,174797,-4.73,1.62,8.86,IDLE,
07:12:32,88.060,176547,174797,-3.32,1.96,8.92,IDLE,
07:12:33,89.139,173194,174797,3.04,2.48,9.00,IDLE,
07:12:34,90.065,173080,174797,3.26,2.53,9.07,IDLE,
07:12:35,91.147,175654,174797,-1.63,2.47,9.15,IDLE,
07:12:36,92.098,175956,174797,-2.20,2.46,9.22,IDLE,
07:12:37,93.023,175247,174797,-0.85,2.40,9.29,IDLE,
07:12:38,94.103,174495,174797,0.57,2.32,9.37,IDLE,
07:12:39,95.029,174721,174797,0.14,2.26,9.43,IDLE,
07:12:40,96.108,176205,174797,-2.67,2.21,9.51,IDLE,
07:12:41,97.043,177078,174797,-4.33,2.33,9.57,IDLE,
07:12:42,98.142,176035,174797,-2.35,2.29,9.64,IDLE,
07:12:43,99.081,176097,174797,-2.47,2.28,9.71,IDLE,
07:12:44,100.021,174906,174797,-0.21,2.28,9.77,IDLE,
07:12:45,101.122,173071,174797,3.28,2.32,9.84,IDLE,
07:12:46,102.062,172370,174797,4.61,2.41,9.90,IDLE,
07:12:47,103.002,175126,174797,-0.62,2.41,9.96,IDLE,
07:12:48,104.100,175383,174797,-1.11,2.38,10.03,IDLE,
07:12:49,105.040,176648,174797,-3.51,2.41,10.09,IDLE,
07:12:50,106.137,175258,174797,-0.87,2.42,10.16,IDLE,
07:12:51,107.076,175258,174797,-0.87,2.39,10.22,IDLE,
07:12:52,108.019,175945,174797,-2.18,2.37,10.27,IDLE,
07:12:53,109.116,175016,174797,-0.42,2.34,10.34,IDLE,
07:12:54,110.056,177049,174797,-4.27,2.35,10.40,IDLE,
07:12:55,111.152,172896,174797,3.61,2.37,10.46,IDLE,
07:12:56,112.093,174367,174797,0.82,2.38,10.51,IDLE,
07:12:57,113.033,174496,174797,0.57,2.37,10.57,IDLE,
07:12:58,114.130,177068,174797,-4.31,2.42,10.63,IDLE,
07:12:59,115.069,174125,174797,1.28,2.56,10.68,IDLE,
07:13:00,116.008,174237,174797,1.06,2.57,10.73,IDLE,
07:13:01,117.105,174296,174797,0.95,2.57,10.79,IDLE,
07:13:02,118.044,177022,174797,-4.22,2.59,10.84,IDLE,
07:13:03,119.140,177827,174797,-5.75,2.74,10.90,IDLE,
07:13:04,120.080,174490,174797,0.58,2.69,10.95,IDLE,
07:13:05,121.021,175063,174797,-0.50,2.67,11.00,IDLE,
07:13:06,122.117,174664,174797,0.25,2.52,11.05,IDLE,
07:13:07,123.058,174944,174797,-0.28,2.46,11.10,IDLE,
07:13:08,124.153,172157,174797,5.01,2.55,11.15,IDLE,
07:13:09,125.095,175089,174797,-0.55,2.59,11.20,IDLE,
07:13:10,126.034,177873,174797,-5.84,2.63,11.25,IDLE,
07:13:11,127.133,173643,174797,2.19,2.69,11.30,IDLE,
07:13:12,128.072,175004,174797,-0.39,2.71,11.34,IDLE,
07:13:13,129.014,177667,174797,-5.45,2.75,11.39,IDLE,
07:13:14,130.111,172061,174797,5.19,2.81,11.44,IDLE,
07:13:15,131.051,171171,174797,6.88,0.00,11.41,IDLE,
07:13:16,132.146,175880,174797,-2.06,2.11,11.36,IDLE,
07:13:17,133.108,174643,174797,0.29,1.60,11.32,IDLE,
07:13:18,134.047,173492,174797,2.48,1.18,11.28,IDLE,
07:13:19,135.144,175216,174797,-0.80,3.43,11.24,IDLE,
07:13:20,136.084,176251,174797,-2.76,3.00,11.20,IDLE,
07:13:21,137.023,174823,174797,-0.05,2.67,11.16,IDLE,
07:13:22,138.120,175543,174797,-1.42,2.35,11.13,IDLE,
07:13:23,139.060,177819,174797,-5.73,2.41,11.17,IDLE,
07:13:24,140.157,178244,174797,-6.54,3.00,11.23,IDLE,
07:13:25,141.096,175748,174797,-1.80,2.83,11.27,IDLE,
07:13:26,142.036,175018,174797,-0.42,2.72,11.32,IDLE,
07:13:27,143.134,174836,174797,-0.07,2.68,11.37,IDLE,
07:13:28,144.074,175422,174797,-1.19,2.57,11.41,IDLE,
07:13:29,145.014,174815,174797,-0.03,2.49,11.45,IDLE,
07:13:30,146.112,176079,174797,-2.43,2.38,11.50,IDLE,
07:13:31,147.052,171680,174797,5.91,0.00,11.53,IDLE,
07:13:32,148.147,175929,174797,-2.15,2.34,11.48,IDLE,
07:13:33,149.087,172220,174797,4.89,2.82,11.44,IDLE,
07:13:34,150.028,172982,174797,3.44,1.62,11.40,IDLE,
07:13:35,151.125,175403,174797,-1.15,1.94,11.35,IDLE,
07:13:36,152.064,174464,174797,0.63,2.34,11.31,IDLE,
07:13:37,153.004,173706,174797,2.07,2.07,11.27,IDLE,
07:13:38,154.100,174772,174797,0.05,1.91,11.29,IDLE,
07:13:39,155.044,175260,174797,-0.88,2.04,11.32,IDLE,
07:13:40,156.140,177540,174797,-5.20,2.61,11.36,IDLE,
07:13:41,157.081,175649,174797,-1.62,2.86,11.41,IDLE,
07:13:42,158.020,174305,174797,0.93,0.00,11.42,IDLE,
07:13:43,159.116,176452,174797,-3.14,2.06,11.38,IDLE,
07:13:44,160.056,176676,174797,-3.57,1.61,11.33,IDLE,
07:13:45,161.151,174505,174797,0.55,1.61,11.29,IDLE,
07:13:46,162.088,177195,174797,-4.55,1.72,11.25,IDLE,
07:13:47,163.014,174075,174797,1.37,1.80,11.25,IDLE,
07:13:48,164.094,174102,174797,1.32,2.17,11.29,IDLE,
07:13:49,165.020,175469,174797,-1.28,2.45,11.33,IDLE,
07:13:50,166.103,174061,174797,1.40,2.34,11.38,IDLE,
07:13:51,167.043,177722,174797,-5.55,2.48,11.43,IDLE,
07:13:52,168.140,176662,174797,-3.54,2.58,11.48,IDLE,
07:13:53,169.081,173743,174797,2.00,2.57,11.52,IDLE,
07:13:54,170.021,173054,174797,3.31,2.70,11.56,IDLE,
07:13:55,171.118,176696,174797,-3.60,2.63,11.61,IDLE,
07:13:56,172.057,176412,174797,-3.06,2.61,11.65,IDLE,
07:13:57,173.154,174008,174797,1.50,2.59,11.70,IDLE,
07:13:58,174.095,174696,174797,0.19,2.58,11.74,IDLE,
07:13:59,175.039,174125,174797,1.28,2.61,11.77,IDLE,
07:14:00,176.135,175126,174797,-0.62,2.59,11.82,IDLE,
07:14:01,177.076,174981,174797,-0.35,2.57,11.86,IDLE,
07:14:02,178.016,175530,174797,-1.39,2.51,11.90,IDLE,
07:14:03,179.112,173697,174797,2.09,2.52,11.94,IDLE,
07:14:04,180.052,176776,174797,-3.76,2.53,11.97,IDLE,
07:14:05,181.152,174504,174797,0.56,2.52,12.02,IDLE,
07:14:06,182.092,178332,174797,-6.71,2.63,12.05,IDLE,
07:14:07,183.031,170449,174797,8.25,0.00,12.02,IDLE,
07:14:08,184.128,179442,174797,-8.81,3.23,11.96,IDLE,
07:14:09,185.069,173127,174797,3.17,3.96,11.91,IDLE,
